Total passes,435,,,,,,
Total successful passes,408,,,,,,
Total successful switches,22,,,,,,
Total successful long balls,42,,,,,,
Total passes in first half,143,,,,,,
Total passes in second half,175,,,,,,
Total successful passes in first half,133,,,,,,
Total successful passes in second half,162,,,,,,
Status,Type,FromX,FromY,ToX,ToY,Time,Segment
Successful,Backward,-16,41,21,36,0:00:00,first half
Successful,Backward,-3,-33,23,-35,0:00:18,first half
Successful,Forward,15,-9,19,-4,0:00:46,first half
Successful,Forward,-24,-29,-19,10,0:01:07,first half
Successful,Backward,-2,37,-5,19,0:01:21,first half
Successful,Backward,0,44,8,32,0:01:41,first half
Successful,Forward,-9,-33,-17,8,0:02:05,first half
Successful,Backward,1,24,-17,-1,0:02:26,first half
Successful,Forward,0,-42,23,13,0:02:53,first half
Unsuccessful,Forward,-11,-47,2,-25,0:03:20,first half
Successful,Forward,-14,-39,18,-2,0:03:43,first half
Successful,Backward,-20,31,20,-36,0:03:53,first half
Successful,Forward,-29,-15,19,25,0:04:11,first half
Successful,Forward,-2,-13,-26,24,0:04:22,first half
Successful,Backward,-26,-29,-29,-37,0:04:49,first half
Successful,Forward,-24,22,9,31,0:05:18,first half
Successful,Backward,11,20,10,-35,0:05:44,first half
Successful,Forward,-12,9,-24,18,0:05:55,first half
Successful,Backward,19,-11,-27,-41,0:06:05,first half
Successful,Backward,17,37,-15,-11,0:06:28,first half
Successful,Backward,-5,28,16,4,0:06:54,first half
Successful,Forward,8,-21,-3,5,0:07:15,first half
Successful,Backward,5,17,-12,6,0:07:44,first half
Successful,Forward,-10,-36,7,-6,0:08:04,first half
Successful,Backward,-19,30,-7,-48,0:08:33,first half
Successful,Backward,-15,-12,-3,-13,0:08:47,first half
Unsuccessful,Forward,-3,-35,14,-12,0:09:14,first half
Successful,Forward,-24,-40,-14,-38,0:09:40,first half
Successful,Backward,23,1,5,-8,0:10:02,first half
Successful,Backward,6,26,-29,-47,0:10:26,first half
Successful,Forward,-24,-45,-26,-4,0:10:37,first half
Successful,Backward,29,42,25,-48,0:10:59,first half
Successful,Forward,-11,-29,17,18,0:11:23,first half
Successful,Backward,29,44,-9,1,0:11:35,first half
Successful,Backward,-21,13,0,-48,0:11:58,first half
Successful,Forward,7,-45,-29,9,0:12:25,first half
Successful,Forward,-23,-41,-27,34,0:12:38,first half
Unsuccessful,Backward,-21,28,18,-10,0:12:50,first half
Unsuccessful,Backward,-6,4,-4,-7,0:13:05,first half
Successful,Forward,8,29,22,44,0:13:20,first half
